epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8376,1.14714,1.29453,1.45292,0.00907,0.1256,0.00229,0.00063,4.09479,322.061,31.3142,0.000654545,0.000654545,0.000654545
2,37.6772,1.31606,1.14118,1.56215,0,0,0,0,nan,nan,nan,0.00130668,0.00130668,0.00130668
3,55.2426,1.29934,1.09072,1.5311,0.2564,0.00966,0.00229,0.00114,nan,nan,nan,0.00194415,0.00194415,0.00194415
4,73.5166,1.27588,1.03722,1.51473,0.01847,0.00966,0.00116,0.00062,nan,nan,nan,0.001934,0.001934,0.001934
5,92.8763,1.19313,0.92235,1.44783,0.66632,0.57488,0.60118,0.33201,1.77423,4.32747,2.38062,0.001912,0.001912,0.001912
6,111.028,1.13315,0.88129,1.41018,0.79603,0.70531,0.79359,0.46967,1.30865,1.82304,1.71007,0.00189,0.00189,0.00189
7,129.527,1.08066,0.80285,1.36423,0.76986,0.63285,0.67442,0.41996,1.38741,1.37167,1.74195,0.001868,0.001868,0.001868
8,148.095,1.05179,0.76745,1.36623,0.59907,0.36715,0.45348,0.23974,1.81651,2.90274,2.30339,0.001846,0.001846,0.001846
9,165.783,0.99618,0.73612,1.31932,0.85472,0.67633,0.75131,0.4497,1.34245,1.06013,1.76782,0.001824,0.001824,0.001824
10,183.44,1.0194,0.75168,1.33637,0.84092,0.89381,0.92644,0.62943,1.02593,1.06296,1.41204,0.001802,0.001802,0.001802
11,203.531,0.97306,0.6941,1.29621,0.90899,0.88889,0.93853,0.65145,0.90807,0.6231,1.35679,0.00178,0.00178,0.00178
12,221.598,0.97354,0.67805,1.29127,0.87526,0.88132,0.9272,0.65955,0.98414,0.70582,1.3652,0.001758,0.001758,0.001758
13,239.675,0.94341,0.67155,1.2728,0.91642,0.88406,0.92305,0.63247,0.97364,0.65897,1.38736,0.001736,0.001736,0.001736
14,257.375,0.92687,0.63077,1.26689,0.96128,0.83962,0.93597,0.64273,1.10724,0.73078,1.46362,0.001714,0.001714,0.001714
15,274.897,0.94987,0.64391,1.26979,0.94127,0.86957,0.93161,0.6659,0.93892,0.57745,1.36613,0.001692,0.001692,0.001692
16,293.112,0.91848,0.62402,1.25749,0.94222,0.78784,0.889,0.58439,1.04191,0.7296,1.45865,0.00167,0.00167,0.00167
17,311.144,0.93426,0.63942,1.27233,0.94871,0.89352,0.9504,0.6522,0.98016,0.52617,1.37759,0.001648,0.001648,0.001648
18,328.908,0.90442,0.60694,1.25454,0.93314,0.85507,0.93277,0.62628,1.18696,0.6846,1.51173,0.001626,0.001626,0.001626
19,346.763,0.88608,0.58413,1.24359,0.92219,0.91604,0.94946,0.6858,0.89604,0.53606,1.30809,0.001604,0.001604,0.001604
20,365.018,0.87874,0.58679,1.2297,0.97441,0.87923,0.9611,0.69136,0.89218,0.4647,1.3276,0.001582,0.001582,0.001582
21,385.531,0.87444,0.57769,1.23796,0.94749,0.8717,0.94813,0.66108,0.94178,0.62352,1.35823,0.00156,0.00156,0.00156
22,403.44,0.84328,0.56373,1.22017,0.95543,0.9321,0.96197,0.6878,0.90648,0.49519,1.27682,0.001538,0.001538,0.001538
23,421.193,0.84548,0.56702,1.21044,0.93652,0.92645,0.95417,0.6842,0.87444,0.48722,1.30131,0.001516,0.001516,0.001516
24,438.616,0.84446,0.55705,1.21382,0.94177,0.93763,0.97024,0.71702,0.81951,0.43878,1.25534,0.001494,0.001494,0.001494
25,456.771,0.8215,0.54478,1.19636,0.95213,0.92754,0.9655,0.72385,0.8709,0.47069,1.26687,0.001472,0.001472,0.001472
26,474.864,0.84871,0.54125,1.20925,0.93347,0.94894,0.96941,0.70575,0.86129,0.44038,1.2598,0.00145,0.00145,0.00145
27,492.32,0.80858,0.53218,1.18424,0.9665,0.90821,0.95863,0.69795,0.87873,0.47392,1.28821,0.001428,0.001428,0.001428
